,name,month_2020,square_meter,road-width,price,bedroom_no,floors,street,area,district
109,"NHÀ PHỐ HIỆN ĐẠI CAO CẤP DT 5m x 16m, 3 LẦU, NỘI THẤT CAO CẤP, hoa hồng giới thiệu 2%",8.0,300.0,8.0,7.311,4.0,3.0,560.0,68.0,14.0
110,"CHÍNH CHỦ CẦN BÁN NHÀ MT AN DƯƠNG VƯƠNG( NHÀ MỚI HOÀN TOÀN) TRỆT, LỮNG, 2 LẦU, SÂN THƯỢNG",7.0,56.0,12.0,6.9,4.0,4.0,23.0,28.0,18.0
111,"Cần Bán Căn Nhà ở đường Lê Thị Hà - Hóc Môn. Đang Cho Thuê 8TR/TH, sổ hồng riêng.",7.0,104.0,5.0,1.2,3.0,1.0,188.0,133.0,3.0
112,"Bán nhà riêng tại đường Lê Thị Hà - Hóc Môn, Hồ Chí Minh, diện tích 4x15m, giá 1.6 tỷ TL",7.0,60.0,6.0,1.6,3.0,2.0,188.0,133.0,3.0
113,THÔNG TIN THẬT - Bán Gấp Nhà Trệt Lầu Sổ Hồng Riêng Hoàn Công ĐĐ HT Vay Bank - DT: 6m x 7m,7.0,38.0,4.0,2.25,2.0,2.0,130.0,114.0,4.0
114,THÔNG TIN THẬT - Bán Gấp Nhà 1 Trệt 2 Lầu ( Lô Nhì Đường NGUYỄN BÌNH ) Đối Diện UB Huyện,7.0,24.0,4.0,0.95,2.0,3.0,236.0,122.0,4.0
115,"Nhà Giáp Tân Phú, 1Tr 2L Sân Thượng. Giá 2 tỷ, ngay ngã Gò Mây",7.0,35.0,5.0,2.3,4.0,3.0,280.0,35.0,18.0
116,BIỆT THỰ 3 LẦU SANG CHẢNH BẬC NHẤT TÂY SÀI GÒN CUỐI ĐƯỜNG LÊ TRỌNG TẤN BÌNH TÂN,7.0,120.0,6.0,2.299,4.0,3.0,39.0,35.0,18.0
117,"Bán Nhà 1 Trệt 2 LẦu Đường Bình Thành,Bình Tân Liền Kề AeOn Tân Phú  SỔ Hồng Chính",7.0,60.0,8.0,1.49,2.0,2.0,163.0,35.0,18.0
118,"bán nhà 1 trệt 1 lầu phan huy ích,Tân Bình giá 1 tỷ 530",7.0,45.0,4.0,1.53,2.0,1.0,326.0,8.0,22.0
119,"BÁN NHÀ CẤP 4, ĐƯỜNG HỒ VĂN LONG  P.BÌNH HƯNG HÒA B, Q BÌNH TÂN, HỒ CHÍ MINH, GIÁ:3,6 TỶ",7.0,97.0,4.0,3.6,2.0,1.0,149.0,35.0,18.0
120,"BÁN NHÀ PHỐ  PHƯỜNG  TÂN THỚI HIỆP, QUÂN 12, HỒ CHÍ MINH, GIÁ:2,050 TỶ",7.0,92.0,4.0,2.05,2.0,1.0,468.0,98.0,8.0
121,"VỢ CHỒNG TÔI CẦN BÁN 16 P.TRỌ,ĐANG THUÊ KÍN,THU NHẬP CAO+300M2 ĐẤT THỔ CƯ,CÓ SỔ,DÂN ĐÔNG.",7.0,450.0,16.0,0.79,16.0,16.0,202.0,104.0,16.0
122,"Chính chủ bán gấp ngay đường Liên Khu 4 - 5, q. Bình Tân, 96m2, 3PN, 3WC, giá 1.63 tỷ",7.0,120.0,5.0,1.63,4.0,3.0,165.0,35.0,18.0
123,Bán 1 căn duy nhất mặt tiền kinh doanh Hà Huy Giáp 4.3x37 1 trệt  3 lầu 5pn 6wc,7.0,370.0,12.0,6.0,5.0,4.0,133.0,80.0,8.0
124,"CHÍNH THỨC MỞ BÁN 25 CĂN BIỆT THỰ PHỐ CAO CẤP ""THỐNG NHẤT RISEDENCE"". LH 090-27-28-136",7.0,280.0,12.0,4.5,5.0,4.0,477.0,82.0,8.0
125,"Bán gấp căn cấp 4 có gác lửng 5x13m, SHR, gần chợ Đại Hải T.V.Mười Hóc Môn, giá yêu thương",7.0,65.0,12.0,2.3,2.0,4.0,447.0,136.0,3.0
126,"NHÀ CHÍNH CHỦ MỚI XÂY CẦN BÁN GẤP NHÀ 1 TRỆT 1 LẦU  90M2, SỔ RIÊNG",7.0,90.0,6.0,1.95,2.0,1.0,124.0,115.0,0.0
127,Vợ chồng tôi cần bán căn nhà như hình - thuộc PHƯỜNG HIỆP BÌNH PHƯỚC - quận THỦ ĐỨC .,7.0,100.0,8.0,5.8,4.0,3.0,16.0,51.0,21.0
128,CẦN BÁN NHANH CĂN NHÀ 2 LẦU MẶT TIỀN ĐƯỜNG 9M KINH DOANH TỐT – GIÁ CHỈ 2 TỶ,7.0,96.0,8.0,2.15,4.0,2.0,165.0,35.0,18.0
129,"Cần bán gấp mặt tiền kinh doanh DT 4,5x20m, 7 lầu có thang máy. Cho thuê 50tr/tháng",7.0,92.0,10.0,12.8,8.0,7.0,206.0,23.0,19.0
130,Chỉ 2 tỷ nhận nhà liền kề Gò Vấp. 1 trệt 1 lửng 3 lầu SHR công chứng trong ngày,7.0,240.0,12.0,4.5,4.0,3.0,196.0,84.0,8.0
131,MỞ BÁN 60 CĂN NHÀ PHỐ  LIỀN KỀ GÒ VẤP SỔ HỒNG RIÊNG CHỈ 4.5 TỶ,7.0,240.0,12.0,4.5,5.0,4.0,477.0,82.0,8.0
